anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,probe_asn
0,0,0,3,2025-03-17,3,210022
0,0,0,5,2025-03-18,5,51020
0,0,0,6,2025-03-18,6,59588
0,0,0,14,2025-03-18,14,199739
0,0,0,1,2025-03-18,1,200485
0,0,0,4,2025-03-18,4,203214
0,0,0,2,2025-03-18,2,205254
0,0,0,2,2025-03-18,2,206206
0,0,0,4,2025-03-18,4,209193
0,0,0,3,2025-03-18,3,210022
0,0,0,6,2025-03-19,6,51020
0,0,0,1,2025-03-19,1,51684
0,0,0,6,2025-03-19,6,198589
0,0,0,8,2025-03-19,8,199739
0,0,0,13,2025-03-19,13,203214
0,0,0,2,2025-03-19,2,205254
0,0,0,7,2025-03-19,7,209193
0,0,0,2,2025-03-19,2,210022
0,0,0,6,2025-03-20,6,51020
0,0,0,2,2025-03-20,2,198589
0,0,0,18,2025-03-20,18,199739
0,0,0,6,2025-03-20,6,202651
0,0,0,11,2025-03-20,11,203214
0,0,0,2,2025-03-20,2,209193
0,0,0,2,2025-03-20,2,210022
0,0,0,1,2025-03-21,1,48492
0,0,0,1,2025-03-21,1,51020
0,0,0,1,2025-03-21,1,51684
0,0,0,1,2025-03-21,1,59588
0,0,0,1,2025-03-21,1,198589
0,0,0,10,2025-03-21,10,199739
0,0,0,7,2025-03-21,7,202651
0,0,0,4,2025-03-21,4,203214
0,0,0,2,2025-03-21,2,206206
0,0,0,3,2025-03-21,3,209193
0,0,0,2,2025-03-22,2,39216
0,0,0,3,2025-03-22,3,51020
0,0,0,3,2025-03-22,3,51684
0,0,0,2,2025-03-22,2,59588
0,0,0,2,2025-03-22,2,138915
0,0,0,6,2025-03-22,6,199739
1,0,0,11,2025-03-22,10,203214
0,0,0,2,2025-03-22,2,205254
0,0,0,1,2025-03-22,1,206206
0,0,0,2,2025-03-22,2,209193
0,0,0,5,2025-03-23,5,51020
0,0,0,2,2025-03-23,2,138915
0,0,0,6,2025-03-23,6,198589
0,0,0,12,2025-03-23,12,199739
0,0,0,9,2025-03-23,9,203214
1,0,0,1,2025-03-23,0,205254
0,0,0,5,2025-03-23,5,209193
0,0,0,5,2025-03-24,5,51020
0,0,0,2,2025-03-24,2,51684
0,0,0,1,2025-03-24,1,59588
0,0,0,2,2025-03-24,2,138915
0,0,0,6,2025-03-24,6,198589
0,0,0,16,2025-03-24,16,199739
0,0,0,3,2025-03-24,3,203214
1,0,0,3,2025-03-24,2,209193
0,0,0,1,2025-03-25,1,21277
0,0,0,6,2025-03-25,6,51020
0,0,0,1,2025-03-25,1,59588
0,0,0,2,2025-03-25,2,138915
0,0,0,5,2025-03-25,5,198589
0,0,0,9,2025-03-25,9,199739
0,0,0,4,2025-03-25,4,203214
0,0,0,1,2025-03-25,1,205254
0,0,0,6,2025-03-25,6,209193
0,0,0,1,2025-03-25,1,212330
0,0,0,5,2025-03-26,5,51020
0,0,0,1,2025-03-26,1,59588
0,0,0,18,2025-03-26,18,199739
0,0,0,11,2025-03-26,11,203214
0,0,0,2,2025-03-26,2,209193
0,0,0,8,2025-03-27,8,51020
0,0,0,1,2025-03-27,1,59588
0,0,0,2,2025-03-27,2,138915
0,0,0,19,2025-03-27,19,199739
0,0,0,11,2025-03-27,11,203214
0,0,0,8,2025-03-27,8,209193
0,0,0,1,2025-03-27,1,210022
0,0,0,1,2025-03-28,1,48492
0,0,0,4,2025-03-28,4,51020
0,0,0,1,2025-03-28,1,59588
0,0,0,3,2025-03-28,3,198589
0,0,0,17,2025-03-28,17,199739
4,0,0,10,2025-03-28,6,203214
0,0,0,10,2025-03-28,10,209193
0,0,0,1,2025-03-28,1,210402
0,0,0,5,2025-03-29,5,51020
0,0,0,2,2025-03-29,2,51684
0,0,0,1,2025-03-29,1,59588
0,0,0,5,2025-03-29,5,138915
0,0,0,9,2025-03-29,9,199739
4,0,0,5,2025-03-29,1,203214
0,0,0,12,2025-03-29,12,209193
0,0,0,1,2025-03-30,1,48492
0,0,0,2,2025-03-30,2,50710
0,0,0,3,2025-03-30,3,51020
0,0,0,2,2025-03-30,2,138915
0,0,0,9,2025-03-30,9,199739
12,0,0,12,2025-03-30,0,203214
0,0,0,2,2025-03-30,2,205254
0,0,0,9,2025-03-30,9,209193
0,0,0,4,2025-03-31,4,51020
0,0,0,2,2025-03-31,2,51684
0,0,0,2,2025-03-31,2,138915
0,0,0,10,2025-03-31,10,199739
7,0,0,9,2025-03-31,2,203214
0,0,0,1,2025-03-31,1,205254
0,0,0,6,2025-03-31,6,209193
0,0,0,3,2025-04-01,3,13335
0,0,0,8,2025-04-01,8,51020
0,0,0,1,2025-04-01,1,51684
0,0,0,2,2025-04-01,2,138915
1,0,0,21,2025-04-01,20,199739
4,0,0,8,2025-04-01,4,203214
0,0,0,2,2025-04-01,2,205254
0,0,0,2,2025-04-01,2,209193
0,0,0,3,2025-04-02,3,13335
0,0,0,6,2025-04-02,6,51020
0,0,0,2,2025-04-02,2,138915
0,0,0,24,2025-04-02,24,199739
5,0,0,11,2025-04-02,6,203214
0,0,0,2,2025-04-02,2,205254
0,0,0,5,2025-04-03,5,13335
0,0,0,1,2025-04-03,1,51020
0,0,0,2,2025-04-03,2,138915
0,0,0,13,2025-04-03,13,199739
2,0,0,12,2025-04-03,10,203214
0,0,0,4,2025-04-03,4,209193
0,0,0,3,2025-04-04,3,13335
0,0,0,1,2025-04-04,1,48492
0,0,0,8,2025-04-04,8,51020
0,0,0,3,2025-04-04,3,51684
0,0,0,2,2025-04-04,2,138915
0,0,0,18,2025-04-04,18,199739
2,0,0,7,2025-04-04,5,203214
0,0,0,3,2025-04-04,3,209193
0,0,0,3,2025-04-05,3,51020
0,0,0,1,2025-04-05,1,138915
0,0,0,17,2025-04-05,17,199739
0,0,0,1,2025-04-05,1,208324
